Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,NBA Draft,Tenure (Years),Draft Round,Overall Pick,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Montrezl Harrell,3.00,3.00,2.00,0.62,203.00,LAL,2015.00,6.00,2.00,32.00,C,27.00,LAL,69.00,1.00,1580.00,375.00,603.00,0.00,10.00,0.00,375.00,593.00,0.63,0.62,181.00,256.00,0.71,158.00,270.00,428.00,73.00,46.00,49.00,74.00,128.00,931.00,0.10,0.17,0.27,0.05,0.03,0.03,0.05,0.08,0.59
Matthew Dellavedova,4.00,4.00,3.00,0.25,123.00,CLE,2013.00,8.00,,,PG,30.00,CLE,13.00,1.00,224.00,14.00,56.00,4.00,25.00,0.16,10.00,31.00,0.32,0.29,4.00,4.00,1.00,6.00,18.00,24.00,58.00,4.00,1.00,6.00,21.00,36.00,0.03,0.08,0.11,0.26,0.02,0.00,0.03,0.09,0.16
Matt Thomas,,,,0.39,481.00,TOR,2017.00,4.00,,,SG,26.00,TOR,26.00,0.00,192.00,24.00,62.00,17.00,41.00,0.42,7.00,21.00,0.33,0.52,6.00,7.00,0.86,3.00,18.00,21.00,9.00,2.00,0.00,6.00,10.00,71.00,0.02,0.09,0.11,0.05,0.01,0.00,0.03,0.05,0.37
Mason Jones,,,,0.41,265.00,HOU,2020.00,1.00,,,SG,22.00,HOU,26.00,1.00,307.00,47.00,114.00,23.00,64.00,0.36,24.00,50.00,0.48,0.51,35.00,57.00,0.61,4.00,47.00,51.00,39.00,6.00,1.00,28.00,22.00,152.00,0.01,0.15,0.17,0.13,0.02,0.00,0.09,0.07,0.50
Marquese Chriss,1.00,1.00,1.00,0.36,99.00,GSW,2016.00,5.00,1.00,8.00,PF,23.00,GSW,2.00,0.00,27.00,5.00,14.00,1.00,5.00,0.20,4.00,9.00,0.44,0.39,2.00,4.00,0.50,3.00,10.00,13.00,2.00,0.00,2.00,2.00,3.00,13.00,0.11,0.37,0.48,0.07,0.00,0.07,0.07,0.11,0.48
Marc Gasol,,,,0.45,171.00,LAL,2007.00,14.00,2.00,48.00,C,36.00,LAL,52.00,42.00,993.00,88.00,194.00,50.00,122.00,0.41,38.00,72.00,0.53,0.58,36.00,50.00,0.72,38.00,177.00,215.00,109.00,26.00,58.00,53.00,115.00,262.00,0.04,0.18,0.22,0.11,0.03,0.06,0.05,0.12,0.26
Malcolm Brogdon,1.00,1.00,0.00,0.45,69.00,IND,2016.00,5.00,2.00,36.00,PG,28.00,IND,56.00,56.00,1930.00,444.00,980.00,145.00,374.00,0.39,299.00,606.00,0.49,0.53,153.00,177.00,0.86,58.00,236.00,294.00,329.00,49.00,15.00,115.00,110.00,1186.00,0.03,0.12,0.15,0.17,0.03,0.01,0.06,0.06,0.61
Lou Williams,1.00,1.00,1.00,0.39,525.00,ATL,2005.00,16.00,2.00,45.00,PG,34.00,ATL,24.00,1.00,505.00,84.00,216.00,24.00,54.00,0.44,60.00,162.00,0.37,0.44,47.00,54.00,0.87,6.00,44.00,50.00,81.00,8.00,2.00,42.00,20.00,239.00,0.01,0.09,0.10,0.16,0.02,0.00,0.08,0.04,0.47
Lonzo Ball,5.00,5.00,5.00,0.41,27.00,NOP,2017.00,4.00,1.00,2.00,PG,23.00,NOP,55.00,55.00,1747.00,290.00,700.00,172.00,455.00,0.38,118.00,245.00,0.48,0.54,50.00,64.00,0.78,33.00,230.00,263.00,316.00,82.00,31.00,123.00,103.00,802.00,0.02,0.13,0.15,0.18,0.05,0.02,0.07,0.06,0.46
LaMarcus Aldridge,3.00,3.00,2.00,0.52,5.00,BRK,2006.00,15.00,1.00,2.00,C,35.00,BRK,5.00,5.00,130.00,25.00,48.00,4.00,5.00,0.80,21.00,43.00,0.49,0.56,10.00,10.00,1.00,2.00,22.00,24.00,13.00,3.00,11.00,7.00,11.00,64.00,0.02,0.17,0.18,0.10,0.02,0.08,0.05,0.08,0.49
Kyle Lowry,6.00,6.00,6.00,0.44,304.00,TOR,2006.00,15.00,1.00,24.00,PG,34.00,TOR,46.00,46.00,1601.00,260.00,596.00,131.00,331.00,0.40,129.00,265.00,0.49,0.55,140.00,160.00,0.88,35.00,212.00,247.00,338.00,45.00,14.00,126.00,143.00,791.00,0.02,0.13,0.15,0.21,0.03,0.01,0.08,0.09,0.49
Kyle Guy,,,,0.33,192.00,SAC,2019.00,2.00,2.00,55.00,PG,23.00,SAC,31.00,0.00,235.00,29.00,88.00,13.00,46.00,0.28,16.00,42.00,0.38,0.40,16.00,20.00,0.80,5.00,30.00,35.00,32.00,6.00,0.00,11.00,20.00,87.00,0.02,0.13,0.15,0.14,0.03,0.00,0.05,0.09,0.37
