Player,Sponsorship,Industry,Subindustry,FG%,Index,Team Code,Twitter Followers,Twitter Followers (number),Twitter Posts (Past 30 days),Twitter Interactions (Past 30 days),Twitter Interactions (Past 30 days) Number,Instagram Followers,Instagram Presence (number),Instagram Posts (Past 30 Days),Instagram Interactions (Past 30 Days),Instagram Interactions (Past 30 Days) Number,Facebook Followers,Facebook Followers (number),NBA Draft,Tenure (Years),Draft Round,Overall Pick,Notes,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORB per MP,DRB per MP,TRB per MP,AST per MP,STL per MP,BLK per MP,TOV per MP,PF per MP,PTS per MP
Malcolm Brogdon,1,1,0,0.453,69,IND,12.38k,12380,4,2.37k,2370,137.68k,137680,0,0,0,,,2016,5,2,36,,PG,28,IND,56,56,1930,444,980,145,374,0.388,299,606,0.493,0.527,153,177,0.864,58,236,294,329,49,15,115,110,1186,0.030051813,0.122279793,0.152331606,0.170466321,0.025388601,0.007772021,0.059585492,0.056994819,0.614507772
Lou Williams,1,1,1,0.389,525,ATL,292.59k,292590,11,4.68k,4680,1.22m,1220000,10,131.41k,131410,,,2005,16,2,45,,PG,34,ATL,24,1,505,84,216,24,54,0.444,60,162,0.37,0.444,47,54,0.87,6,44,50,81,8,2,42,20,239,0.011881188,0.087128713,0.099009901,0.16039604,0.015841584,0.003960396,0.083168317,0.03960396,0.473267327
Lonzo Ball,5,5,5,0.414,27,NOP,1.19m,1190000,7,0,0,9.56m,9560000,2,1.55m,1550000,984.06k,984060,2017,4,1,2,,PG,23,NOP,55,55,1747,290,700,172,455,0.378,118,245,0.482,0.537,50,64,0.781,33,230,263,316,82,31,123,103,802,0.018889525,0.131654264,0.150543789,0.180881511,0.046937607,0.017744705,0.070406411,0.058958214,0.459072696
LaMarcus Aldridge,3,3,2,0.521,5,BRK,754.16k,754160,6,0,0,,,0,0,0,,,2006,15,1,2,,C,35,BRK,5,5,130,25,48,4,5,0.8,21,43,0.488,0.563,10,10,1,2,22,24,13,3,11,7,11,64,0.015384615,0.169230769,0.184615385,0.1,0.023076923,0.084615385,0.053846154,0.084615385,0.492307692
Kyle Lowry,6,6,6,0.436,304,TOR,906.81k,906810,2,21.89k,21890,1.58m,1580000,1,460.07k,460070,,,2006,15,1,24,,PG,34,TOR,46,46,1601,260,596,131,331,0.396,129,265,0.487,0.546,140,160,0.875,35,212,247,338,45,14,126,143,791,0.021861337,0.132417239,0.154278576,0.211118051,0.028107433,0.008744535,0.078700812,0.089319176,0.494066209
Kyle Guy,,,,0.33,192,SAC,,,,,,,,,,,,,2019,2,2,55,,PG,23,SAC,31,0,235,29,88,13,46,0.283,16,42,0.381,0.403,16,20,0.8,5,30,35,32,6,0,11,20,87,0.021276596,0.127659574,0.14893617,0.136170213,0.025531915,0,0.046808511,0.085106383,0.370212766
Kristaps Porziņģis,,,,0.476,413,DAL,378.90k,378900,0,0,0,1.61m,1610000,2,140.36k,140360,603.67k,603670,2015,6,1,4,,C,25,DAL,43,43,1327,325,683,97,258,0.376,228,425,0.536,0.547,118,138,0.855,82,299,381,68,20,58,51,115,865,0.061793519,0.225320271,0.287113791,0.051243406,0.01507159,0.043707611,0.038432555,0.086661643,0.65184627
Khyri Thomas,,,,0.485,480,HOU,,,,,,,,,,,,,2018,3,2,38,Doesn’t show on roster ,SG,24,HOU,5,2,153,32,66,9,27,0.333,23,39,0.59,0.553,9,9,1,7,11,18,25,9,6,6,8,82,0.045751634,0.071895425,0.117647059,0.163398693,0.058823529,0.039215686,0.039215686,0.052287582,0.535947712
Khris Middleton,2,2,2,0.476,343,MIL,69.18k,69180,0,0,0,,,0,0,0,,,2012,9,2,39,,SF,29,MIL,68,68,2269,511,1074,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385,0.02379903,0.15513442,0.178933451,0.163067431,0.032613486,0.003966505,0.078448656,0.070515646,0.610401058
Kevin Knox,3,3,2,0.392,277,NYK,90.15k,90150,0,0,0,,,,,,,,2016,5,1,9,,SF,21,NYK,42,0,464,56,143,35,89,0.393,21,54,0.389,0.514,16,20,0.8,10,51,61,19,12,6,17,37,163,0.021551724,0.109913793,0.131465517,0.040948276,0.025862069,0.012931034,0.036637931,0.079741379,0.351293103
